bedrooms,sqft_living,yr_built,price
3,1340,1955,313000
5,3650,1921,2384000
3,1930,1966,342000
3,2000,1963,420000
4,1940,1976,550000
2,880,1938,490000
2,1350,1976,335000
4,2710,1989,482000
3,2430,1985,452500
4,1520,1945,640000
3,1710,1948,463000
4,2920,1909,1400000
3,2330,1980,588500
3,1090,1955,365000
5,2910,1939,1200000
3,1200,1965,242500
3,1570,1956,419000
4,3110,1997,367500
3,1370,1987,257950
3,1180,1983,275000
3,2240,1923,750000
4,1450,1954,435000
3,1750,2005,626000
4,2730,1991,612500
4,1600,1959,495000
3,2090,1987,285000
3,2360,1948,615000
4,2200,1920,698000
5,2820,1979,675000
3,2600,1951,790000
4,1560,1967,382500
4,2860,2004,499950
4,1820,1945,650000
4,2820,2014,625000
4,3630,1979,400000
3,3240,1995,604000
2,800,1944,440000
3,1850,1992,287200
3,1960,1957,403000
3,2390,1955,750000
3,1580,1978,335000
4,1480,1974,260000
2,850,1950,308500
3,1770,1990,439950
2,1210,1949,235000
3,1160,1968,315000
3,1970,1977,437500
3,1930,1996,407500
3,1270,2001,445700
4,3310,2001,838000
4,2710,2000,630000
3,2910,1979,550000
3,2710,1929,805000
3,1800,1968,284000
5,2210,1976,470000
4,1920,1954,430000
4,2190,1968,491500
5,3660,2006,785000
3,1320,2008,385000
2,1630,2009,295000
4,3310,2012,555000
3,2680,2013,459990
4,2730,2007,625000
3,2540,2006,300000
4,2920,2012,625000
2,900,1944,553000
3,1650,1986,379880
3,1010,1973,310000
2,2680,2004,775000
3,2200,1988,365000
4,2530,1990,331950
3,2850,1980,783500
4,2280,1900,628000
3,1900,1987,560000
3,1330,1928,900000
2,1270,2000,531000
4,2170,1982,831000
4,2730,1996,780000
4,2120,1960,755000
3,2490,2003,705380
4,1990,1973,627000
4,3690,1998,865000
2,2540,1942,580000
3,1800,1978,410000
4,2340,1979,485000
2,2110,1948,400000
2,1140,1908,549000
3,1480,2005,620000
2,1410,2006,405000
2,1200,1958,232000
5,3180,1990,800866
3,2160,1949,650000
6,2920,1908,823000
3,2350,1939,770000
3,1560,1944,524000
5,2740,1960,541125
3,1680,1909,670000
5,3090,1968,384900
3,1410,2005,406100
5,4010,1971,1395000
4,3180,2000,736500
3,2010,1975,570000
3,1330,1961,787000
4,2370,1998,328000
5,1840,1942,435000
4,2910,2006,499000
4,2070,1963,501000
4,4340,1992,1090000
2,840,1955,400000
4,1240,1971,220000
4,1390,1924,657100
4,2310,2006,309950
3,1050,1986,300000
5,2550,1960,525888
4,2010,1902,740000
5,1120,1962,340000
3,2230,1954,398750
2,810,1944,206000
5,3190,1976,1030000
3,1670,1976,600000
4,1970,1960,379950
3,1450,1953,287000
7,13540,1999,2280000
3,1880,1994,309950
3,1880,1945,600000
3,1410,1930,418000
4,1480,1928,449250
2,1140,1949,329950
3,1920,1984,245000
4,2910,2008,549000
3,3240,1994,800000
3,1550,1958,249950
5,2050,1956,210000
2,2220,2000,1425000
2,1770,1949,585000
4,2300,1977,615000
3,1800,1942,618500
4,2010,1977,487585
3,1790,2010,509900
4,2440,2014,631625
3,1940,2009,555000
2,1160,2001,340000
4,3400,2007,830000
4,4420,2006,890000
3,1571,2008,366750
3,1620,2010,415000
3,1408,2005,416286
3,3040,2007,478000
5,4490,2006,890000
2,1590,2014,419190
4,2450,2013,712198
4,1440,1971,397000
2,1100,1912,450000
3,1350,1947,353000
4,2150,1985,609000
3,1490,1975,234000
3,2000,1916,561000
2,1030,1924,469000
2,720,1942,329350
5,2020,1938,488000
3,1580,1962,279900
4,2110,1987,606000
4,1300,1950,312000
3,1630,1940,650000
4,3370,1970,1135000
4,1890,1980,325000
4,1520,1967,425000
2,900,1952,219000
3,1050,1954,250000
3,1260,1966,390000
6,3470,1924,475000
4,2290,1988,736000
4,2810,1958,407000
3,1650,1998,272000
3,1640,1963,362000
3,1850,1991,535000
4,2000,2003,284000
3,1410,1961,367500
4,1500,1955,379900
3,2460,1980,520000
3,1010,1954,175000
